Slug,Firm,Town,Address,Phone,Website,Email,Director,First Name,Last Name,Listing URL,Rating,Reviews,Branches Found,Flags,Search Term,Place ID,Probe Sent,Probe Address,First Reply,Lag (hrs),Reply Channel,Emailed,Called,Outcome
ashton-white-dxfw,Ashton White Estate Agents Billericay,Billericay,"140 High St, Billericay CM12 9DF, UK",01277 659002,http://www.ashtonwhite.co.uk/?%20utm_source=GoogleMyBusiness&utm_medium=organic&utm_campaign=GMB&utm_term=location&utm_content=location,admin@ashtonwhite.co.uk,,,,https://ashtonwhite.co.uk/property/laindon-common-road-little-burstead-billericay-6/,4.9,122,1,,estate agents,ChIJHeLfNtLB2EcRFLMipjihM74,,,,,,,,
stanton-hockett-3n81,Stanton Hockett Limited,Billericay,"24 Hillhouse Dr, High St, Billericay CM12 9BQ, UK",01277 714777,http://www.stantonhockett.co.uk/,hello@stantonhockett.co.uk,Bradley Stanton,Bradley,Stanton,https://www.stantonhockett.co.uk/property/flat-8-bricklayers-court-61-hadham-road-bishops-stortford-cm12-2qy/a0733bf4-c241-4245-859c-ad2e3c075638,4.9,167,1,,estate agents,ChIJ26R5LbHB2EcRIJmSkhG_l1o,,,,,,,,
quirks-estate-7dxl,Quirks Estate Agents Billericay,Billericay,"108A High St, Billericay CM12 9BY, UK",01277 626541,https://www.quirkandpartners.co.uk/,billericay@quirkandpartners.co.uk,,,,https://quirkandpartners.co.uk/property/laindon-common-road-little-burstead-billericay/,4.9,187,1,,estate agents,ChIJR5llY-bA2EcRPvFvqRmkaJ4,,,,,,,,
henton-kirkman-nu7n,Henton Kirkman Residential,Billericay,"The Horseshoes, 137a High St, Billericay CM12 9AB, UK",01277 500800,https://www.hentonkirkman.co.uk/,office@hentonkirkman.co.uk,,,,,4.6,19,1,no listing URL — get one by hand before probing,estate agents,ChIJI5FgQ-bA2EcRWFlc3eNRpj0,,,,,,,,
parabar-estates-o46o,ParaBar Estates,Billericay,"106 High St, Billericay CM12 9BY, UK",01277 656563,http://www.parabar.co.uk/,info@parabar.co.uk,,,,https://parabar.co.uk/property/mountnessing-road-billericay-2/,4.8,86,1,,estate agents,ChIJBfK1ZObA2EcRxxx48BIyDKQ,,,,,,,,
tyler-estates-jiya,Tyler Estates,Billericay,"7, Grange Parade, Grange Rd, Billericay CM11 2RF, UK",01277 626181,http://www.tylerestates.co.uk/,dawn@tylerestates.co.uk,Jeremy Tyler,Jeremy,Tyler,https://www.tylerestates.co.uk/property/1-bed-retirement-property-for-sale-in-outwood-common-road-billericay-cm11/625002,4.9,115,1,,estate agents,ChIJIwCovCbB2EcRVQ4iklx1MyQ,,,,,,,,
the-property-77zi,The Property Specialists | Estate agents in Billericay,Billericay,"135 High St, Billericay CM12 9AB, UK",01277 654446,https://www.thepropertyspecialists.co.uk/?utm_source=localmaps&utm_medium=gbp&utm_campaign=billericay,sales@thepropertyspecialists.co.uk,David McCarthy,David,McCarthy,,5.0,136,1,no listing URL — get one by hand before probing,estate agents,ChIJhRBZueTA2EcRLsDsXI_k7FA,,,,,,,,
gibson-brennan-76vf,Gibson & Brennan Estate Agents,Billericay,"Suite 4, Sharp House, Crompton Cl, Basildon SS14 3AY, UK",01268 219992,http://www.gibsonandbrennan.co.uk/,bonita@gibsonandbrennan.co.uk,Jake Gibson,Jake,Gibson,,4.9,271,1,no listing URL — get one by hand before probing,estate agents,ChIJg0fw86nH2EcRyMqD82ZjKJ0,,,,,,,,
crown-estate-n4id,Crown Estate Agents,Billericay,"Endeavour House, Church Rd, Billericay CM11 1RN, UK",01268 711133,https://www.crownestatesagents.co.uk/,enquiries@crownestatesagents.co.uk,,,,,4.0,1,1,no listing URL — get one by hand before probing,estate agents,ChIJ6ZUK3efD2EcRqJc7zUOw0MI,,,,,,,,
chalmers-agency-mevq,Chalmers Agency,Billericay,"38 High St, Stock, Ingatestone CM4 9BW, UK",01277 840917,https://www.chalmers-agency.co.uk/,mandy@chalmers-agency.co.uk,Mandy,Mandy,,,5.0,14,1,no listing URL — get one by hand before probing,estate agents,ChIJk6Y3rZ3B2EcR7ID0YKEUkkA,,,,,,,,
carter-remy-hpo7,Carter Remy Estate Agents,Billericay,"Cornwallis Business centre, Howard Chase, Basildon SS14 3BB, UK",01268 727757,http://www.carterremy.co.uk/,allison.fenton@carter-remy.co.uk,,,,https://carterremy.co.uk/property/bowers-court-drive-bowers-gifford/,4.8,214,1,,estate agents,ChIJ8d0qfqLH2EcRczVHaDJ0BJQ,,,,,,,,
period-homes-wgjx,Period Homes Essex,Billericay,"80 High St, Ingatestone CM4 9DW, UK",01277 288000,http://www.periodhomes.co.uk/,essex@periodhomes.co.uk,,,,,4.9,32,1,no listing URL — get one by hand before probing,estate agency,ChIJm4BgKQbB2EcRBrkJhH5pcSI,,,,,,,,
crowsheath-estate-3u3n,Crowsheath Estate,Billericay,"Hawkswood Rd, Downham, Billericay CM11 1JT, UK",01277 523422,https://crowsheathestate.co.uk/,enquiries@crowsheathestate.co.uk,,,,,5.0,6,1,no listing URL — get one by hand before probing,property for sale,ChIJx8EfyHTB2EcRd1BE-glmdyA,,,,,,,,
wn-properties-sz3p,WN Properties,Billericay,"148 Hutton Rd, Shenfield, Brentwood CM15 8NL, UK",01277 225191,http://www.wnproperties.co.uk/,lettings@wnproperties.co.uk,Zaman Sheikh,Zaman,Sheikh,https://www.wnproperties.co.uk/properties-for-sale/property/12854284-church-road-ramsden-bellhouse-billericay,4.8,123,1,,property for sale,ChIJ54a7peS-2EcR8LJdn6FxE2w,,,,,,,,
keith-ashton-sel6,Keith Ashton Estate Agents,Brentwood,"26 St Thomas Rd, Brentwood CM14 4DB, UK",01277 260858,https://www.keithashton.co.uk/,lettings@keithashton.co.uk,,,,https://www.keithashton.co.uk/property/the-windmill-cottage-mill-lane-high-ongar-ongar/,4.8,293,1,,estate agents,ChIJ018uf5W-2EcR6_oVgmd0-ik,,,,,,,,
hs-estate-3wuj,HS Estate Agents,Brentwood,"HS Estates, 137 Kings Rd, Brentwood CM14 4DR, UK",01277 220819,http://www.hs-estateagents.co.uk/,lettings@hs-estateagents.co.uk,Fran Brabham-Neil,Fran,Brabham-Neil,,4.8,193,1,no listing URL — get one by hand before probing,estate agents,ChIJtxlcl7G-2EcRYsuG_3A9TuA,,,,,,,,
meacock-jones-unk7,Meacock & Jones,Brentwood,"106 Hutton Rd, Shenfield, Brentwood CM15 8NB, UK",01277 218485,http://www.meacockjones.co.uk/,enquiries@meacockjones.co.uk,Russell Pomfret,Russell,Pomfret,https://www.meacockjones.co.uk/property/childerditch-street-little-warley-cm13/meaco-001098/1,4.9,117,1,,estate agents,ChIJFRo3peS-2EcRvhz5CX-cK6w,,,,,,,,
tinsley-co-w98u,Tinsley & Co.,Brentwood,"Jubilee House, 3 The Dr, Warley, Brentwood CM13 3FR, UK",01277 781030,https://www.tinsleys.co.uk/,support@tinsleys.co.uk,Ian Tinsley,Ian,Tinsley,https://www.tinsleys.co.uk/property/area-guides/ingatestone,5.0,172,1,,estate agents,ChIJbytK6Ty_2EcROQuRGMEfPLE,,,,,,,,
hardings-lettings-f5it,Hardings Lettings & Property Management Ltd,Brentwood,"1 St Thomas Rd, Brentwood CM14 4DB, UK",01277 509644,http://www.hardingslettings.co.uk/,brentwood@delaneyproperties.co.uk,Robert Delaney,Robert,Delaney,,4.0,57,1,no listing URL — get one by hand before probing,estate agents,ChIJccxfgZW-2EcRbcwatTIDmdk,,,,,,,,
smooth-move-wews,Smooth Move,Brentwood,"4 Gresham Rd, Brentwood CM14 4HN, UK",01277 600700,http://www.smoothmoveestates.co.uk/,lettings@smoothmoveestates.co.uk,Gary,Gary,,https://smoothmoveestates.co.uk/property/fontwell-park-gardens-hornchurch/,4.6,16,1,,estate agents,ChIJNcGBGry-2EcR7KfGmWt2Bww,,,,,,,,
blueprint-property-88hj,Blueprint Property Group Ltd,Brentwood,"1, Oscar House, 1b Fairfield Rd, Brentwood CM14 4LR, UK",01277 287931,https://www.blueprintproperties.co.uk/,info@blueprintproperties.co.uk,,,,https://www.blueprintproperties.co.uk/property/2041-exclusive-collection-of-five-stunning-country-barns,3.6,28,1,,property for sale,ChIJowfw-LQcdkgRWut7ImsPWMk,,,,,,,,
freehold-sale-6dag,Freehold Sale,Brentwood,"75 Queenswood Ave, Hutton, Brentwood CM13 1HU, UK",01245 227920,https://www.freehold-sale.co.uk/,info@freehold-sale.co.uk,Adam,Adam,,,5.0,30,1,no listing URL — get one by hand before probing,property for sale,ChIJGYn6rnjo2EcR_lkS4fqbiRg,,,,,,,,
parry-cohen-mgux,Parry Cohen Estate Agents,Shenfield,"78 Hutton Rd, Shenfield, Brentwood CM15 8NB, UK",01277 224847,http://www.parrycohen.co.uk/,jill@property-stop.com,Richard Parry,Richard,Parry,,4.2,20,1,no listing URL — get one by hand before probing,estate agents,ChIJxW71uOS-2EcRy384h18i9Hs,,,,,,,,
