communication_id,agency_id,probe_id,interaction_id,occurred_at,received_at,channel,direction,communication_type,provider,provider_event_id,source_identifier_raw,source_identifier_normalized,destination_identifier,display_name,call_status,duration_seconds,voicemail_present,recording_reference,transcript,email_message_id,email_thread_id,subject,body_text,raw_content,raw_payload_reference,matching_method,match_score,match_status,automated_or_human,human_contact,callback_attempt,successful_conversation,follow_up,booking_attempt,communication_classification,intent,contact_quality,ai_summary,ai_confidence,ai_model,manual_review_status,manual_override,override_reason,created_at,updated_at
SCHEMA NOTE,Fixture export in live workbook shape.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
com_fix_0001,agc_001,prb_fix_001,,2026-08-01T09:03:00.000Z,2026-08-01T09:03:00.000Z,email,inbound,,,,noreply@alpha-estates.co.uk,noreply@alpha-estates.co.uk,,,,,,,,,,Thank you for your enquiry,This is an automated message. We have received your enquiry and will be in touch.,,,deterministic,1,matched,automated,FALSE,,,,,,,,,,,,,,2026-08-01T09:03:00.000Z,2026-08-01T09:03:00.000Z
com_fix_0002,agc_001,prb_fix_001,,2026-08-01T09:40:00.000Z,2026-08-01T09:40:00.000Z,email,inbound,,,,sarah@alpha-estates.co.uk,sarah@alpha-estates.co.uk,,,,,,,,,,Re: 12 Example Road,"Hi, regarding your enquiry on 12 Example Road — I can show you round Saturday at 3pm. I also noticed you have a property to sell; we can offer a free valuation at the same time.",,,deterministic,1,matched,human,TRUE,,,,,,,,,,,,,,2026-08-01T09:40:00.000Z,2026-08-01T09:40:00.000Z
com_fix_0003,agc_001,prb_fix_001,,2026-08-02T11:00:00.000Z,2026-08-02T11:00:00.000Z,voice,inbound,,,,,,,,,38,TRUE,,"Hi it's Sarah from Alpha Estates, I tried to call you about the viewing. Give me a call back when you can.",,,,,,,deterministic,1,matched,human,TRUE,,,,,,,,,,,,,,2026-08-02T11:00:00.000Z,2026-08-02T11:00:00.000Z
com_fix_0004,agc_002,prb_fix_002,,2026-08-01T09:20:00.000Z,2026-08-01T09:20:00.000Z,email,inbound,,,,tom@beta-property.co.uk,tom@beta-property.co.uk,,,,,,,,,,Re: your enquiry,Thanks for your message about the property. It is still available. Let me know if you would like any further details.,,,deterministic,1,matched,human,TRUE,,,,,,,,,,,,,,2026-08-01T09:20:00.000Z,2026-08-01T09:20:00.000Z
com_fix_0005,agc_002,prb_fix_002,,2026-08-01T13:00:00.000Z,2026-08-01T13:00:00.000Z,sms,inbound,,,,+447700900555,+447700900555,,,,,,,,,,,"Hi, just checking you got my email about the house. Tom, Beta Property.",,,deterministic,1,matched,human,TRUE,,,,,,,,,,,,,,2026-08-01T13:00:00.000Z,2026-08-01T13:00:00.000Z
com_fix_0006,agc_003,prb_fix_003,,2026-08-01T09:02:00.000Z,2026-08-01T09:02:00.000Z,email,inbound,,,,no-reply@gamma-homes.co.uk,no-reply@gamma-homes.co.uk,,,,,,,,,,We have received your enquiry,"Thank you for your enquiry, a member of our team will be in touch shortly.",,,deterministic,1,matched,automated,FALSE,,,,,,,,,,,,,,2026-08-01T09:02:00.000Z,2026-08-01T09:02:00.000Z
com_fix_0007,agc_005,prb_fix_005,,2026-08-01T10:10:00.000Z,2026-08-01T10:10:00.000Z,voice,inbound,,,,,,,,,51,TRUE,,"Hello, this is Priya from Delta Estates. I have booked you in for a valuation on Thursday at 10am, our valuer will call beforehand to confirm.",,,,,,,deterministic,1,matched,human,TRUE,,,,,,,,,,,,,,2026-08-01T10:10:00.000Z,2026-08-01T10:10:00.000Z
com_fix_0008,agc_005,prb_fix_005,,2026-08-02T05:00:00.000Z,2026-08-02T05:00:00.000Z,email,inbound,,,,priya@delta-estates.co.uk,priya@delta-estates.co.uk,,,,,,,,,,Valuation Thursday,Confirming your valuation Thursday 10am. What days and times work best for the viewing itself?,,,deterministic,1,matched,human,TRUE,,,,,,,,,,,,,,2026-08-02T05:00:00.000Z,2026-08-02T05:00:00.000Z
com_fix_0009,agc_006,prb_fix_006,,2026-08-01T15:00:00.000Z,2026-08-01T15:00:00.000Z,voice,inbound,,,,,,,,completed,22,,,"Hi there. Yeah the property is still on. Anyway, speak soon.",,,,,,,deterministic,1,matched,human,TRUE,,,,,,,,,,,,,,2026-08-01T15:00:00.000Z,2026-08-01T15:00:00.000Z
