intelligence_id,agency_id,probe_id,observation_status,observation_deadline,auto_acknowledgement,auto_ack_timestamp,crm_detected,crm_name,crm_evidence,first_human_touch,first_human_touch_at,human_lag_hours,callback_attempts,successful_conversations,voicemail_count,inbound_sms_count,email_touch_count,follow_up_count,follow_up_channels,last_touch_at,days_chased,booking_attempt,contact_quality,proactive_reactive,persistence_profile,channels_used,grade,grade_reason,tier,tier_reason,sales_angle,segment,ai_evidence_summary,ai_confidence,manual_override,override_reason,observation_closed_at,created_at,updated_at,contact_attempt_count
itl_msxs9y52_71vd9j,ag_test_andrewgranger_novus,prb_msxs8lkv_5sgkpr,observing,2026-08-21T22:05:36.858Z,FALSE,,unknown,,,no,,,0,0,0,0,0,0,,,,FALSE,,none,none,,pending,Observation window still open; no evidence on any channel yet.,,,,,"Vendor opportunity: no_evidence. No human communications observed to assess. Response: no communication of any kind was observed. Persistence: 0 contact attempt(s), 0 follow-up(s) (none).",,,,,2026-08-17T22:06:32.549Z,2026-08-18T22:22:49.323Z,0
itl_msxtcmvz_zcwknj,ag_hist_countryside-estates-q72g,prb_msxtcfp6_ebl5yn,observing,2026-08-21T22:36:33.028Z,FALSE,,unknown,,,yes,2026-08-17T22:36:29.000Z,-0.001118888889,1,0,1,0,1,1,voice,2026-08-18T10:04:59.161Z,0.48,FALSE,Persistent / multi-channel,proactive,multi-channel,"email,voice",A,Very fast human contact (≤1h) with 1+ genuine follow-up attempt(s) (Source Master §10).,,,,,"Vendor opportunity: no_evidence. 2 human communication(s) reviewed; none referenced the declared vendor opportunity or a valuation. Response: first human contact after 0h (2026-08-17T22:36:29.000Z). Persistence: 2 contact attempt(s), 1 follow-up(s), channels: email,voice, 1 voicemail(s), chased over 0.48 day(s) (proactive). Booking: no attempt to book a viewing or valuation was made in any human message. Evidence: ""Thank you for your portal lead enquiry [ref:1BUJKPs1WrE2VjRbb5DTRfA] — Dear Joe Carter Thank you for your interest in our services. We will respond to your enqu…"" (email, 2026-08-17T22:36:29.000Z); ""A hi Joe, this is Albert from comes on the sites. I've just got your inquiry to view the intel review and have lease him, give me a call back when you can. Than…"" (voice, 2026-08-18T10:04:59.161Z).",,,,,2026-08-17T22:36:37.523Z,2026-08-18T22:22:49.323Z,2
itl_msydporu_czjvzx,ag_hist_robert-michael-zuab,prb_msxtfg2m_kg7i2u,observing,2026-08-21T22:38:51.867Z,FALSE,,unknown,,,yes,2026-08-18T08:04:03.000Z,9.419759167,0,0,0,0,1,0,,2026-08-18T08:04:03.000Z,0.39,FALSE,Reactive,reactive,none,email,D,Fast human contact (>1h and ≤16h) with 0 genuine follow-up attempts (Source Master §10).,,,,,"Vendor opportunity: no_evidence. 1 human communication(s) reviewed; none referenced the declared vendor opportunity or a valuation. Response: first human contact after 9.4h (2026-08-18T08:04:03.000Z). Persistence: 1 contact attempt(s), 0 follow-up(s), channels: email, chased over 0.39 day(s) (reactive). Booking: no attempt to book a viewing or valuation was made in any human message. Evidence: ""Property Details From Robert Michael — Property Bulletin from Robert Michael Home Dear Sir/Madam, Please find below a link to particulars of a property that mee…"" (email, 2026-08-18T08:04:03.000Z).",,,,,2026-08-18T08:06:38.869Z,2026-08-18T22:22:49.323Z,1
itl_msyeez4n_eb6bp6,ag_hist_david-burr-tfbj,prb_msxt8w4a_oxvkl9,observing,2026-08-21T22:33:50.236Z,FALSE,,unknown,,,yes,2026-08-18T08:26:16.364Z,9.873924444,1,0,1,0,1,0,,2026-08-18T08:29:17.000Z,0.41,TRUE,Booking attempt,reactive,multi-channel,"voice,email",D,Fast human contact (>1h and ≤16h) with 0 genuine follow-up attempts (Source Master §10).,,,,,"Vendor opportunity: no_evidence. 2 human communication(s) reviewed; none referenced the declared vendor opportunity or a valuation. Response: first human contact after 9.9h (2026-08-18T08:26:16.364Z). Persistence: 1 contact attempt(s), 0 follow-up(s), channels: voice,email, 1 voicemail(s), chased over 0.41 day(s) (reactive). Booking: a viewing/valuation was raised, but no specific time or availability was ever pushed for. Evidence: ""Hi, message for joey. My names down. I'm calling from david renewal. In case you sent us through an inquiry for property on pages road. So I'm calling to see if…"" (voice, 2026-08-18T08:26:16.364Z); ""4 Bakers Row — Good morning Joe, Thanks for your enquiry on 4 Bakers Row in Newmarket. Newmarket, Suffolk | David Burr Estate Agents<https://davidburr.co.uk/pro…"" (email, 2026-08-18T08:29:17.000Z).",,,,,2026-08-18T08:26:18.671Z,2026-08-18T22:22:49.323Z,1
itl_msyejasi_ojednm,ag_hist_brown-brand-28l8,prb_msxtgdkf_u5lr0v,observing,2026-08-21T22:39:35.034Z,FALSE,,unknown,,,yes,2026-08-18T08:29:38.260Z,9.834229444,1,0,1,0,0,0,,2026-08-18T08:29:38.260Z,0.41,FALSE,Reactive,reactive,none,voice,D,Fast human contact (>1h and ≤16h) with 0 genuine follow-up attempts (Source Master §10).,,,,,"Vendor opportunity: no_evidence. 1 human communication(s) reviewed; none referenced the declared vendor opportunity or a valuation. Response: first human contact after 9.8h (2026-08-18T08:29:38.260Z). Persistence: 1 contact attempt(s), 0 follow-up(s), channels: voice, 1 voicemail(s), chased over 0.41 day(s) (reactive). Booking: no attempt to book a viewing or valuation was made in any human message. Evidence: ""A hi joy, it's lucy calling from brandon brand. I'm just calling you made an inquiry and to be a flat half down and leave a large a if you could give us a call…"" (voice, 2026-08-18T08:29:38.260Z).",,,,,2026-08-18T08:29:40.392Z,2026-08-18T22:22:49.323Z,1
itl_msyekc0e_q6fhw4,ag_hist_morgan-brookes-2cp4,prb_msxtdvbv_p95lot,observing,2026-08-21T22:37:37.633Z,FALSE,,unknown,,,yes,2026-08-18T08:30:26.677Z,9.88029,1,0,1,0,0,0,,2026-08-18T08:30:26.677Z,0.41,FALSE,Reactive,reactive,none,voice,D,Fast human contact (>1h and ≤16h) with 0 genuine follow-up attempts (Source Master §10).,,,,,"Vendor opportunity: no_evidence. 1 human communication(s) reviewed; none referenced the declared vendor opportunity or a valuation. Response: first human contact after 9.9h (2026-08-18T08:30:26.677Z). Persistence: 1 contact attempt(s), 0 follow-up(s), channels: voice, 1 voicemail(s), chased over 0.41 day(s) (reactive). Booking: no attempt to book a viewing or valuation was made in any human message. Evidence: ""Joy, if anything, quoted for monica brooks states agents just following up regarding the inquiry for bottom of pop creighton self and just wanted to get you reg…"" (voice, 2026-08-18T08:30:26.677Z).",,,,,2026-08-18T08:30:28.620Z,2026-08-18T22:22:49.323Z,1
itl_msyfsppi_ily6vu,ag_hist_aspire-estate-aus5,prb_msxtd2eq_3aad13,observing,2026-08-21T22:36:59.615Z,TRUE,2026-08-18T03:21:12.000Z,unknown,,,yes,2026-08-17T23:39:35.957Z,1.043428333,1,0,1,2,0,1,"voice,sms",2026-08-18T09:06:33.544Z,0.44,TRUE,Booking attempt,proactive,multi-channel,"sms,email,voice",B,Fast human contact (>1h and ≤16h) with 1+ genuine follow-up attempt(s) (Source Master §10).,,,,,"Vendor opportunity: no_evidence. 3 human communication(s) reviewed; none referenced the declared vendor opportunity or a valuation. Response: first human contact after 1h (2026-08-17T23:39:35.957Z). Persistence: 2 contact attempt(s), 1 follow-up(s), channels: sms,email,voice, 1 voicemail(s), chased over 0.44 day(s) (proactive). Booking: a viewing/valuation was raised, but no specific time or availability was ever pushed for. Evidence: ""Hi Joe Carter! Aspire Estate Agents here about the 2-bed property in SS7. Book a viewing: https://bot.bridgeai.co.uk/0ae51bcc-2cb7-4212-ab9e-42e1450e78d5"" (sms, 2026-08-17T23:39:35.957Z); ""A hi, it's critical thing for me as far as the agency, if you could please return my call. The number is a 1268, triple 7400. Thank you."" (voice, 2026-08-18T09:04:56.588Z); ""Hi, its Kareena from Aspire Estate Agents. PLease contact me regarding your recent enquiry on Peregrine DRive 01268 777400 Kareena Steane Aspire"" (sms, 2026-08-18T09:06:33.544Z).",,,,,2026-08-18T09:04:59.244Z,2026-08-18T22:22:49.323Z,2
itl_msyhedfd_9f66xq,ag_hist_morris-armitage-wg41,prb_msxtaq16_5krde9,observing,2026-08-21T22:35:11.094Z,FALSE,,unknown,,,yes,2026-08-18T09:49:47.125Z,11.24334194,1,0,1,0,1,0,,2026-08-18T09:51:40.000Z,0.47,FALSE,Reactive,reactive,multi-channel,"voice,email",D,Fast human contact (>1h and ≤16h) with 0 genuine follow-up attempts (Source Master §10).,,,,,"Vendor opportunity: acknowledged. 2 human communication(s) reviewed. Evidence: ""…If this is a first time purchase or if you have a property to sell and are actively marketing.

I look forward to…"" (email, 2026-08-18T09:51:40.000Z). Response: first human contact after 11.2h (2026-08-18T09:49:47.125Z). Persistence: 1 contact attempt(s), 0 follow-up(s), channels: voice,email, 1 voicemail(s), chased over 0.47 day(s) (reactive). Booking: no attempt to book a viewing or valuation was made in any human message. Evidence: ""Hi Joe. It's Lisa from maurice armitage. Estate agents in New markets, even quantity about a property that was selling in George johnson avenue in New markets.…"" (voice, 2026-08-18T09:49:47.125Z); ""212 George Lambton Avenue - Morris Armitage — Good morning, I hope you are well? We have received a Rightmove lead to suggest that you are interested in a prope…"" (email, 2026-08-18T09:51:40.000Z).",,,,,2026-08-18T09:49:49.417Z,2026-08-18T22:22:49.323Z,1
itl_msyjsdvh_e29wf3,ag_msstv7xg_bodbye,prb_msstv7xg_nksnc0,observing,2026-08-21T10:52:13.924Z,FALSE,,unknown,,,no,,,0,0,0,0,0,0,,,,FALSE,,none,none,,pending,Observation window still open; no evidence on any channel yet.,,,,,"Response: no communication of any kind was observed. Persistence: 0 contact attempt(s), 0 follow-up(s) (none).",,,,,2026-08-18T10:56:42.239Z,2026-08-18T22:22:49.323Z,0
itl_msyjsen7_cd4lte,ag_hist_ashtonwhite,prb_hist_0001,closed,2026-08-14T20:53:05.000Z,FALSE,,unknown,,,no,,,0,0,0,0,0,0,,,,FALSE,,none,none,,H,Observation window closed after 4 days with no meaningful response on any channel (Source Master §10).,,,,,"Vendor opportunity: no_evidence. No human communications observed to assess. Response: no communication of any kind was observed. Persistence: 0 contact attempt(s), 0 follow-up(s) (none).",,,,2026-08-14T20:53:05.000Z,2026-08-18T10:56:43.397Z,2026-08-18T22:22:49.323Z,0
