diagnosis_id,agency_id,probe_id,grade,tier,primary_problem,evidence_summary,commercial_implication,recommended_solution,sales_angle
dgn_msyprv08_hjmuzg,ag_hist_ashtonwhite,prb_hist_0001,H,Core,No meaningful response on any channel within the 4-day observation window.,"Observation window closed after 4 days with no meaningful response on any channel (Source Master §10). Contact posture: none. Follow-ups: 0. Vendor opportunity: no_evidence. No human communications observed to assess. Response: no communication of any kind was observed. Persistence: 0 contact attempt(s), 0 follow-up(s) (none). Also observed: The vendor opportunity was never picked up — the enquiry declared a property to sell that is not yet on the market, and no human communication ever mentioned selling, a valuation or a market appraisal.","Enquiries are going cold before, or shortly after, first contact — a direct front-desk response-handling gap.",NOVUS Core (Front Desk),The enquiry went completely unanswered — the clearest possible case for Core.
dgn_msyprv08_2zehog,ag_hist_stantonhockett,prb_hist_0002,E,Core,"Slow first response (over 16 hours), though follow-up persistence exists.","Slow human contact (>16h) with 1+ genuine follow-up attempt(s) (Source Master §10). Contact posture: proactive. Human lag: 37.11527778h. Follow-ups: 1. Channels used: voice. Days chased: 4.09. Vendor opportunity: no_evidence. 2 human communication(s) reviewed; none referenced the declared vendor opportunity or a valuation. Response: first human contact after 37.1h (2026-08-12T11:00:00+01:00). Persistence: 2 contact attempt(s), 1 follow-up(s), channels: voice, 1 voicemail(s), chased over 4.09 day(s) (proactive). Booking: no attempt to book a viewing or valuation was made in any human message. Evidence: ""Hi, Jerry, it's Terry from Stanton Hockett estate agents. Trying to catch up with you regarding your inquiry on our lovely Wedgewood Way property in Ashingdon a…"" (voice, 2026-08-12T11:00:00+01:00). Also observed: The vendor opportunity was never picked up — the enquiry declared a property to sell that is not yet on the market, and no human communication ever mentioned selling, a valuation or a market appraisal. Human contact was made but no viewing or valuation was ever proposed — the conversation never moved toward an appointment.","Enquiries are going cold before, or shortly after, first contact — a direct front-desk response-handling gap.",NOVUS Core (Front Desk),"They do chase, but the first reply is too slow to beat the other agents the prospect also messaged that night."
dgn_msyprv08_sa127h,ag_hist_quirkandpartners,prb_hist_0003,H,Core,No meaningful response on any channel within the 4-day observation window.,"Observation window closed after 4 days with no meaningful response on any channel (Source Master §10). Contact posture: none. Follow-ups: 0. Vendor opportunity: no_evidence. No human communications observed to assess. Response: no communication of any kind was observed. Persistence: 0 contact attempt(s), 0 follow-up(s) (none). Also observed: The vendor opportunity was never picked up — the enquiry declared a property to sell that is not yet on the market, and no human communication ever mentioned selling, a valuation or a market appraisal.","Enquiries are going cold before, or shortly after, first contact — a direct front-desk response-handling gap.",NOVUS Core (Front Desk),The enquiry went completely unanswered — the clearest possible case for Core.
dgn_msyprv08_uix04d,ag_hist_hentonkirkman,prb_hist_0004,F,Core,Slow first response (over 16 hours) and no follow-up persistence.,"Slow human contact (>16h) with 0 genuine follow-up attempts (Source Master §10). Contact posture: reactive. Human lag: 18.91527778h. Follow-ups: 0. Channels used: voice. Days chased: 0.79. Vendor opportunity: no_evidence. 1 human communication(s) reviewed; none referenced the declared vendor opportunity or a valuation. Response: first human contact after 18.9h (2026-08-11T16:48:00+01:00). Persistence: 1 contact attempt(s), 0 follow-up(s), channels: voice, chased over 0.79 day(s) (reactive). Booking: no attempt to book a viewing or valuation was made in any human message. Also observed: The vendor opportunity was never picked up — the enquiry declared a property to sell that is not yet on the market, and no human communication ever mentioned selling, a valuation or a market appraisal. Human contact was made but no viewing or valuation was ever proposed — the conversation never moved toward an appointment. Contact was purely reactive — a single responding attempt, with no follow-up and no push for a specific time or the prospect's availability.","Enquiries are going cold before, or shortly after, first contact — a direct front-desk response-handling gap.",NOVUS Core (Front Desk),Slow first reply and no chase after it — the exact gap Core is built to close.
dgn_msyprv08_7twxpp,ag_hist_parabar,prb_hist_0005,B,Growth,"The vendor opportunity was never picked up — the enquiry declared a property to sell that is not yet on the market, and no human communication ever mentioned selling, a valuation or a market appraisal.","Fast human contact (>1h and ≤16h) with 1+ genuine follow-up attempt(s) (Source Master §10). Contact posture: proactive. Human lag: 10.63916667h. Follow-ups: 1. Channels used: email. Days chased: 1.5. Vendor opportunity: no_evidence. 3 human communication(s) reviewed; none referenced the declared vendor opportunity or a valuation. Response: first human contact after 10.6h (2026-08-11T07:31:26Z). Persistence: 2 contact attempt(s), 1 follow-up(s), channels: email, chased over 1.5 day(s) (proactive). Booking: no attempt to book a viewing or valuation was made in any human message. Evidence: ""Property Details — Dear Joe Carter. Please find attached the brochure(s) for properties we think will interest you. Please contact me on 01277 65 65 63 if you a…"" (email, 2026-08-11T07:31:26Z); ""Property Details - Outwood Common Road, Billericay — Dear Joe Carter. Please find attached the brochure(s) for properties we think will interest you. Please con…"" (email, 2026-08-12T08:54:04Z); ""Property Details - Kilbarry Walk, Billericay — Dear Joe Carter. Please find attached the brochure(s) for properties we think will interest you. Please contact m…"" (email, 2026-08-12T08:54:57Z). Also observed: Human contact was made but no viewing or valuation was ever proposed — the conversation never moved toward an appointment. No response-handling problem — fast human contact with genuine follow-up persistence.","A live instruction lead was handed to them and went unrecognised — the highest-value miss in the whole observation, independent of how fast they answered.",NOVUS Growth,Their front desk performs well — the opening is the database and appraisal pipeline they are not yet working.
dgn_msyprv08_d13qub,ag_hist_tylerestates,prb_hist_0006,B,Growth,"The vendor opportunity was never picked up — the enquiry declared a property to sell that is not yet on the market, and no human communication ever mentioned selling, a valuation or a market appraisal.","Fast human contact (>1h and ≤16h) with 1+ genuine follow-up attempt(s) (Source Master §10). Contact posture: proactive. Human lag: 11.63111111h. Follow-ups: 1. Channels used: email,voice. Days chased: 2.08. Vendor opportunity: no_evidence. 2 human communication(s) reviewed; none referenced the declared vendor opportunity or a valuation. Response: first human contact after 11.6h (2026-08-11T09:41:00+01:00). Persistence: 2 contact attempt(s), 1 follow-up(s), channels: email,voice, 2 voicemail(s), chased over 2.08 day(s) (proactive). Booking: a viewing/valuation was raised, but no specific time or availability was ever pushed for. Evidence: ""Hi, this message for Joe. It's Freddy calling from Tyro Estates. I hope you're well. Just calling regarding your request on Southwood. Cool. Kind of give me a c…"" (voice, 2026-08-11T09:41:00+01:00); ""Oh, good morning, Joe. It's Martin here from Tyler Estates. I'm just coming back to you regarding an inquiry you've made on one of our retirement properties at…"" (voice, 2026-08-13T00:00:00+01:00). Also observed: No response-handling problem — fast human contact with genuine follow-up persistence.","A live instruction lead was handed to them and went unrecognised — the highest-value miss in the whole observation, independent of how fast they answered.",NOVUS Growth,Their front desk performs well — the opening is the database and appraisal pipeline they are not yet working.
dgn_msyprv08_t0sscb,ag_hist_thepropertyspecialists,prb_hist_0007,D,Core,Slower first response (over 1 hour) and no follow-up persistence.,"Fast human contact (>1h and ≤16h) with 0 genuine follow-up attempts (Source Master §10). Contact posture: reactive. Human lag: 14.27166667h. Follow-ups: 0. Channels used: email. Days chased: 0.59. Vendor opportunity: no_evidence. 1 human communication(s) reviewed; none referenced the declared vendor opportunity or a valuation. Response: first human contact after 14.3h (2026-08-11T11:16:23Z). Persistence: 1 contact attempt(s), 0 follow-up(s), channels: email, chased over 0.59 day(s) (reactive). Booking: a viewing/valuation was raised, but no specific time or availability was ever pushed for. Evidence: ""Walman House, Billericay — Hi Joe, thanks for your enquiry regarding the property we have for sale in Walman House, St Ediths Court, Billericay. I understand yo…"" (email, 2026-08-11T11:16:23Z). Also observed: The vendor opportunity was never picked up — the enquiry declared a property to sell that is not yet on the market, and no human communication ever mentioned selling, a valuation or a market appraisal. Contact was purely reactive — a single responding attempt, with no follow-up and no push for a specific time or the prospect's availability.","Enquiries are going cold before, or shortly after, first contact — a direct front-desk response-handling gap.",NOVUS Core (Front Desk),The first reply already takes over an hour and nobody chases after it — Core answers inside a minute and keeps chasing.
dgn_msyprv08_zubpzn,ag_hist_gibsonandbrennan,prb_hist_0008,D,Core,Slower first response (over 1 hour) and no follow-up persistence.,"Fast human contact (>1h and ≤16h) with 0 genuine follow-up attempts (Source Master §10). Contact posture: proactive. Human lag: 12.43194444h. Follow-ups: 0. Channels used: email,voice. Days chased: 0.52. Vendor opportunity: no_evidence. 2 human communication(s) reviewed; none referenced the declared vendor opportunity or a valuation. Response: first human contact after 12.4h (2026-08-11T10:26:00+01:00). Persistence: 1 contact attempt(s), 0 follow-up(s), channels: email,voice, 1 voicemail(s), chased over 0.52 day(s) (proactive). Booking: 1 human message(s) actively pushed for a viewing slot or the prospect's availability. Evidence: ""Hello Joe, this is Dan from Gibson and Brennan. Give me a call back when you get this. 01268 219992. Thanks."" (voice, 2026-08-11T10:26:00+01:00); ""Your viewing request — Hello Joe. We hope this email finds you in good health and high spirits. We received an email from you regarding arranging a viewing for…"" (email, 2026-08-11T09:27:12Z). Also observed: The vendor opportunity was never picked up — the enquiry declared a property to sell that is not yet on the market, and no human communication ever mentioned selling, a valuation or a market appraisal. Human contact was made but no viewing or valuation was ever proposed — the conversation never moved toward an appointment.","Enquiries are going cold before, or shortly after, first contact — a direct front-desk response-handling gap.",NOVUS Core (Front Desk),The first reply already takes over an hour and nobody chases after it — Core answers inside a minute and keeps chasing.
dgn_msyprv08_mnnxle,ag_hist_crownestatesagents,prb_hist_0009,B,Growth,"The vendor opportunity was never picked up — the enquiry declared a property to sell that is not yet on the market, and no human communication ever mentioned selling, a valuation or a market appraisal.","Fast human contact (>1h and ≤16h) with 1+ genuine follow-up attempt(s) (Source Master §10). Contact posture: proactive. Human lag: 14.48194444h. Follow-ups: 2. Channels used: voice,email. Days chased: 1.78. Vendor opportunity: no_evidence. 3 human communication(s) reviewed; none referenced the declared vendor opportunity or a valuation. Response: first human contact after 14.5h (2026-08-11T12:29:00+01:00). Persistence: 3 contact attempt(s), 2 follow-up(s), channels: voice,email, 1 voicemail(s), chased over 1.78 day(s) (proactive). Booking: no attempt to book a viewing or valuation was made in any human message. Evidence: ""Hi, my name's Kathy from a company called Crown State Agents. We've had a contact detail from you regarding a property we've got for sale. Fox Cottage in Ramsde…"" (voice, 2026-08-11T12:29:00+01:00); ""Kathy Crown Estate Agents re inquiry — Hi Joe. Thank you for your inquiry. We have tried to call you regarding Fox Cottage. If you would care to call back or em…"" (email, 2026-08-12T15:37:15Z). Also observed: Human contact was made but no viewing or valuation was ever proposed — the conversation never moved toward an appointment. No response-handling problem — fast human contact with genuine follow-up persistence.","A live instruction lead was handed to them and went unrecognised — the highest-value miss in the whole observation, independent of how fast they answered.",NOVUS Growth,Their front desk performs well — the opening is the database and appraisal pipeline they are not yet working.
dgn_msyprv08_8i71up,ag_hist_chalmersagency,prb_hist_0010,F,Core,Slow first response (over 16 hours) and no follow-up persistence.,"Slow human contact (>16h) with 0 genuine follow-up attempts (Source Master §10). Contact posture: reactive. Human lag: 63.56777778h. Follow-ups: 0. Channels used: email,voice. Days chased: 2.65. Vendor opportunity: no_evidence. 1 human communication(s) reviewed; none referenced the declared vendor opportunity or a valuation. Response: first human contact after 63.6h (2026-08-13T13:47:00+01:00). Persistence: 1 contact attempt(s), 0 follow-up(s), channels: email,voice, chased over 2.65 day(s) (reactive). Booking: no attempt to book a viewing or valuation was made in any human message. Also observed: The vendor opportunity was never picked up — the enquiry declared a property to sell that is not yet on the market, and no human communication ever mentioned selling, a valuation or a market appraisal. Human contact was made but no viewing or valuation was ever proposed — the conversation never moved toward an appointment. Contact was purely reactive — a single responding attempt, with no follow-up and no push for a specific time or the prospect's availability.","Enquiries are going cold before, or shortly after, first contact — a direct front-desk response-handling gap.",NOVUS Core (Front Desk),Slow first reply and no chase after it — the exact gap Core is built to close.
